keywords,id,year,_title,_material,_dimension,_inscription,_provenance
"royal portrait, male portrait, painting",PA-F00905-0005,1986,"William, Lord Abergavenny 1732",,2.388 x 1.41 (94 x 55 1/2 inches),,Hove Museum and Art Gallery
"royal portrait, male portrait, painting",PA-F00905-0027,1970,"Thomas Cromwell, Earl Of Ardglass (1594–1653)",,,"Inscribed ""A DNI 1627 / Aetatis Suae 33""",From Kings Weston House; Bristol Corporation
"royal portrait, male portrait, painting",PA-F00905-0041,1974,"Earl Of Aylesford, Heneage, 1st Earl 1648–1719",,,,"Private collection, U. K."
"male portrait, painting",PA-F00905-0051,1978,"John Bancroft (1574–1641), Bishop Of Oxford (1632–41)",,1.03 x 0.85 (39 1/2 x 33on.),,"University College, Oxford"
"male portrait, painting",PA-F00905-0075,1978,Thomas Bickley (1518–96) Bishop Of Chichester (1585–96),,0.425 x 0.336(16 3/4 x 13 1/4 inches),,"Magdalen College, Oxford"
"male portrait, painting",PA-F00905-0101,1974,Brook Bridges,,,,"Private collection, U. K."
"male portrait, painting",PA-F00907-0083,1985,Revered Armine Styleman (1726–1803),,30 1/2 x 24 1/2in,,Private Collection
"male portrait, painting",PA-F00908-0021,1978,Cuthbert Turnstall,,0.90 x 0.762(35 7/16 x 30 inches),,"J. R. Chichester-Constable, Esq. ,"
"male portrait, painting",PA-F00908-0071,1984,RICHARD WILLIAMSON,,,,Westminster School
"male portrait, painting",PA-F00908-0073,1984,John Williams,,,,Westminster School
"male portrait, painting",PA-F00908-0099,1978,Dr Thomas Wood,,,,"Warden's Lodgings, New College, Oxford"
"miscellaneous, painting",PA-F00908-0127,1989,detail Of A Bible (Accepted Frewen),,,,Brickwall House School E. Sussex
"male portrait, painting",PA-F00909-0023,1984,Unknown Gentleman,,,,"Private Collection, Kent."
"male portrait, painting",PA-F00909-0027,1972,Unknown Portrait,,0.889 x 0.508 (35 x 20 inches),,"The Guildhall, Barnstaple"
"male portrait, painting",PA-F00909-0051,1974,Unidentified Man,,,,"Private collection, U. K."
"male portrait, painting",PA-F00909-0059,1966,Portrait Of Non,,,,C. A. M. Oaskes Esq.
"male portrait, drawing",PA-F00909-0077,1977,Head Of A Boy,Black and white chalks on brown paper,,,D. L. T. Oppé (1896e)
"male portrait, painting",PA-F00909-0085,1978,Unidentified Portrait,,0.565 x 0.673(22 1/4 x 26 1/2 inches),,"Private collection, Cambridge"
"male portrait, painting",PA-F00909-0095,1984,HENRY GEORGE LIDDELL,,,,Westminster School
"male portrait, painting",PA-F00909-0121,1984,ROBERT HOBART,,,,Westminster School
"male portrait, painting",PA-F00911-0021,1966,A Double Portrait Of 2 Members Of The Eales Family,Oil on canvas,31 x 39 1/2 inches,Inscribed: with age of sitters,Sotheby's 9. 2. 66 (111)
"royal portrait, male portrait, female portrait, painting",PA-F00911-0057,1964,Mary Queen Of Scots & Her Son Prince James,,,,"Lt. Commander & the Hon, Mrs Mildway-White"
"royal portrait, female portrait, painting",PA-F00914-0023,1978,Countess Of Buckinghamshire At The Age Of 19,Oil on panel,0. 66 x 0. 51(26 x 20 inches ),Inscribed and dated 1632: 1632; AETATIS. SUAE. ; . 19.,"Anonymous sale, Bonhams 2 February 1978 (4)"
"female portrait, painting",PA-F00914-0047,1985,Catherine (1ewkenor) Calthorpe (1616-1677),,,,Private Collection
"female portrait, painting",PA-F00914-0049,1985,Dorothy (Spring) Lady Calthorpe(1648-1715),,,,Private Collection
"female portrait, painting, animal portrait",PA-F00914-0055,1973,Miss Charlotte Chambers,,0. 762 x 0. 635 (30 x 25 inches ),,"Private, UK."
"female portrait, painting",PA-F00914-0069,1977,"Dorothy, Lady Cotton, Wife Of Sir John Cotton Of Cannington",,1. 27 x 1. 015 (50 x 40 inches ),,"Anonymous sale, Bonhams 8 September 1977 (196)"
"royal portrait, female portrait, painting",PA-F00914-0085,1972,Lady Julia Devalera,,,,"Geffrye Museum, London."
"male portrait, painting",PA-F00905-0097,1972,"Richard Bremridge, Mp, Mayor Of Barnstaple 1829–&–1859",,,,"The Guildhall, Barnstaple"
"royal portrait, male portrait, painting",PA-F00905-0139,1974,"Sir Theobald Butler, 7th Earl Cahir (Obit 1700)",,,,"Private collection, U. K."
"royal portrait, male portrait, painting, miniature",PA-F00906-0161,1977,"John, 1st Duke Of Rothes (ca.1630–1681)",Oil on copper,0.063 (2 1/2 inches high),,Private Collection
"royal portrait, male portrait, painting",PA-F00906-0167,1969,Lord Edward Russell,,0.864 x 0.629 (34 x 23 3/4 inches),,Duke of Bedford
"male portrait, painting",PA-F00907-0025,1969,Edward Sheldon; The English Icon,Oil on canvas,30 x 24 in / 76.2 x 61cm,,Major C. Fellowes
"male portrait, painting",PA-F00907-0085,1985,Nicholas Styleman (1682–1746),,29 x 24 1/2in,,Private Collection
"royal portrait, male portrait, painting",PA-F00907-0093,1974,"Thomas Radcliffe, Earl Of Sussex And Lord Fitzwalter",Panel,0.61 x 0.457(24 x 18 inches),,"Private collection, U. K."
"male portrait, painting",PA-F00907-0095,1976,Elias Sydall (1671–1733) Dean Of Canterbury,,,,"The Deanery, Canterbury"
"male portrait, painting",PA-F00908-0113,1990,Charles Yates,,032 x 0.25 (12 5/8 x 9 7/8 inches),,
"male portrait, painting",PA-F00908-0115,1990,James Yates (1778–1856),,0.32 x 0.255 (12 5/8 x 10 inches),,
"male portrait, painting",PA-F00908-0117,1990,Major–general Richard Hassels Yates,,0.27 x 0.215 (10 5/8 x 8 1/2 inches),,Private Collection
"male portrait, painting",PA-F00909-0009,1984,Unknown Man,,,,"Masonic Hall, Bath"
"male portrait, painting",PA-F00909-0029,1973,Portrait Of An Unknown Gentleman,,0.635 x 0.520 (25 x 20 1/2 inches),"Inscribed: at top, Nec. Mihi Nec. Tibi-/ Ann. 1606.","Earl Ferrers, Hedenham Hall, Norfolk"
"male portrait, painting",PA-F00909-0047,1972,Unknown Sitter,,0.762 x 0.635 (30 x 25 inches),,"Lord Middleton, Birdsall, Yorks."
"male portrait, painting",PA-F00909-0063,1964,A Captain Of Marines Ra 1964 (252),Canvas,30 x 25 inches,,Paul Mellon (1907–1999)
"male portrait, painting",PA-F00909-0065,1979,Unknown Officer,,0.738 x 0.610 (29 x 24 inches),,Sir Roger Legard
"male portrait, painting",PA-F00909-0081,1980,Boy,,,,Sir Robert Kirkwood KCMG
"male portrait, painting",PA-F00909-0089,1974,Unidentified Man,,,,"Private collection, U. K."
"female portrait, male portrait, drawing",PA-F00911-0009,1984,Mrs Arnold And Her Son Henry,Pencil and watercolour,0. 215 x 0. 170 (84 3/4 x 67 inches ),,Private Collection
"female portrait, male portrait, painting",PA-F00911-0011,1985,Sir Edward And Blanche Astley,,,,Private Collection
"female portrait, male portrait, painting, group portrait",PA-F00911-0043,1980,"Mrs Jordan, Mrs Crouch, Mr Lewis & Another Actor",,,,"Private Collection, Norfolk"
"female portrait, animal portrait, british landscape",PA-F00911-0049,1985,Sir Hamon L'estrange And Sir Robert Carey Riding To Edinburgh To Announce The Death Of Elizabeth 1st To James Ist,,,,Private Collection
"female portrait, painting, miniature",PA-F00913-0017,1977,Unknown Lady (ca. 1640 - 1650),Oil on copper or card,0. 048 (1 7/8 in high),,Private Collection
"royal portrait, female portrait, painting",PA-F00913-0021,1977,"Mary Leslie, Countess Of Eglinton (Fl 1635)",Oil on card miniature,0. 051 (2 inches High),,Private Collection
"male portrait, painting",PA-F00904-0031,1972,"Thomas Lamplugh (1615–1691), Bishop Of Exeter (1676–1688), Archbishop Of York (1688–1691)",,0.762 x 0.635 (30 x 25 inches ),,Bishop's Palace Exeter.
"royal portrait, male portrait, painting",PA-F00904-0051,1978,"Robert Dudley, Earl Of Leicester",Wood,0.475 x 0.395 (18 3/4 x 15 1/2 inches),,"Warden's Lodgings, new College, Oxford"
"male portrait, painting",PA-F00904-0055,1985,(Sir) Hamon L'estrange (1583–1654),Panel,36 1/4 x 26 3/4 im,Inscribed Act 18,Private Collection
"male portrait, painting",PA-F00905-0011,1977,"General Miguel Alava Seated On A Sofa, With Books And Crutches",Watercolour,0.215 x 0.280 (8 1/2 x 11 inches),,Private Collection
"male portrait, painting",PA-F00905-0035,1985,Sir Edward Astley (1729–1802),,,,Private Collection
"male portrait, painting",PA-F00905-0053,1978,Archbishop Bancroft,Wood,0.565 x 0.455 (22 1/4 x 18 inches),,"Warden's Lodgings, New College, Oxford"
"male portrait, painting",PA-F00905-0077,1978,Warden Bigg,,0.750 x 0.620 (26 1/4 x 24 1/2 inches),,"Warden's Lodgings, New College, Oxford"
"male portrait, painting",PA-F00905-0105,1974,Colonel John Bridges,,0.762 x 0.635(30 x 25 inches),,"Private collection, U. K."
"male portrait, painting",PA-F00905-0123,1972,William Buller (1735–1796) – Bishop Of Exeter(1792–1796),,1.270x1.160 (50 x 40 inches),,"Bishop's Palace, Exeter."
"male portrait, painting",PA-F00906-0109,1976,"John Piers 1523–94 (Bishop Of Rochester 1576, Bishop Of Salisbury 1577, Archbishop Of York 1588–9)",,,,"Christ Church, Oxford"
"royal portrait, female portrait, painting, miniature",PA-F00906-0159,1977,"John, 9th Earl Of Rothes (1679–1722)",Oil on copper,0.060 (2 5/16 inches high),,Private Collection
"male portrait, painting",PA-F00908-0105,1978,William Of Wykeham,Panel,0.890 x 0.685 (35 x 27 inches),,"warden's Lodgings, New College, Oxford"
"male portrait, painting",PA-F00909-0019,1984,DR WILLIAM CAREY,,,,Westminster School
"male portrait, painting",PA-F00909-0021,1984,GEORGE PERROT,,,,Westminster School
"male portrait, painting",PA-F00909-0091,1973,Unidentified Gentleman,Oval,0.762 x 0.635(30 x 25 inches),,"Major and Mrs R. P. Chaworth-Musters, Annesley Park, Nottinghamshire."
"male portrait, drawing",PA-F00909-0117,1977,Man With Portfolio Taking Snuff,Pen and sepia wash,0.295 x 0.165 (11 3/4 x 6 1/2 inches),,Randall Davies; A. Paul Oppé (1878–1957) 1947; D. L. T. Oppé (2327d)
"royal portrait, male portrait, painting",PA-F00897-0003,1988,Edward VI,,,,"King Edward School, Witley, Surrey"
"royal portrait, male portrait, painting",PA-F00897-0039,1973,Henry VIII,Wood,0.992 x 0.751 (39 x 29 1/2 inches),,"Traditionally given by the King to Sir James Worsley, Governor of the Isle of Wight, after a visit paid to him at Appuldurcombe. ; Private Collection, UK."
"male portrait, painting",PA-F00902-0007,1985,Sir Christopher Calthorpe (1643–1718),,,,Private Collection
"royal portrait, male portrait, painting",PA-F00902-0025,1976,"Henry Brydges, 2nd Duke Of Chandos, Kb (1708–1771)",Pastel,0.736 x 0.609 (29 x 24 inches),,"Lord Henniker, Thornham Hall, Eye, Suffolk."
"royal portrait, male portrait, painting",PA-F00902-0057,1984,William Ellis (1760–1834) 1st Lord Colchester,,,,Westminster School
"male portrait, painting",PA-F00902-0069,1978,Robert Creighton (1593–1672) Bishop Of Bath (1670–2),,1.17 x 0.89 (46 x 35 inches),,Thomas Suel presented 1866 to; Wells Town Hall
"male portrait, painting",PA-F00902-0091,1970,Sir Richard Davenport,,,,D. W. H. Neilson
"male portrait, painting",PA-F00902-0121,1972,Hon Andrew Drummond,,0.760 x 0.635 (30 x 25 inches),,Cadland Settled Estates
"royal portrait, male portrait, painting",PA-F00903-0009,1966,"Earl Of Essex, In Garten Robes, Full Length",,,,Eric Bullivant Feq.
"royal portrait, male portrait, painting",PA-F00903-0089,1973,Charles Grey (Later 1st Earl Grey),,1.270 x 1.016 (50 x 40 inches),,"By family descent to Lady Mary Howick, Howick Grange, Alnwick, Northumberland."
"royal portrait, male portrait, painting",PA-F00903-0143,1973,"Sir William Hope, 5th Bt (D 1707)",,1.270 x 1.016 (50 x 40 inches),,"Sir Archibald Hope, bought , Upton Grey Lodge, Basingstoke."
"male portrait, painting",PA-F00904-0003,1978,William James (ca.1542–1617) Bishop Of Durham (1606–17),Panel,0.91 x 0.68 (35 3/4 x 26 3/4 inches),,"Christ Church, Oxford (by 1740)"
"male portrait, painting",PA-F00904-0033,1970,James Lane–fox Of Bramham (D1821),,,,General Pitt Rivers (1827–1900)
"male portrait, painting",PA-F00904-0067,1985,Sir Roger L'estrange (1616– ),,29 1/2 x 24 1/2in,,Private Collection
"male portrait, painting",PA-F00906-0015,1978,James Montagu (ca. 1568–1618) Bishop Of Bath & Wells (1608–16) And Winchester (1616–18),,,,"Sidney Sussex College, Cambridge"
"male portrait, painting",PA-F00906-0041,1972,Nelson,,0.760 x 0.635 (30 x 25 inches),,Cadland Settled Estates
"male portrait, painting",PA-F00906-0061,1973,"Brownlow North, Lld, Bishop Of Winchester",,,,British Museum.
"royal portrait, male portrait, painting",PA-F00906-0063,1975,"Roger, 2nd Lord North 1530–1600",Panel,0.260 x 0.280 (14 1/4 x 11 inches),"Inscribed: Ae. Suae 35 and later: Roger, Lord North Treasurer of the Household to Queen Elizabeth",Private Collection
"male portrait, painting",PA-F00905-0141,1990,Major Adolphus Elizabeth Byam,,0.24 x 0.195 (9 1/2 x 7 5/8 inches),,Private Collection
"miscellaneous, male portrait, painting",PA-F00906-0013,1978,"Mendelssohn, 1847",,,,"Private Collection, Oxfordshire"
"male portrait, painting",PA-F00906-0021,1978,Double Portraits Of Sir Thomas More,,0.228 x 0.305( 9 x 12 inches),,Trockmorton family; by marriage to Eyston family; Thomas M. Eyston.
"male portrait, painting",PA-F00906-0049,1984,Dr John Nicoll,,,,Westminster School
"male portrait, painting",PA-F00906-0053,1984,John Nicoll,,,,Westminster School
"male portrait, painting",PA-F00906-0151,1972,William Frederick Rock 1802 – 1890,,,,"The Guildhall, Barnstaple"
"male portrait, painting",PA-F00907-0061,1985,Sir William Spring 2nd Bart ( –1684),,,,Private Collection
"male portrait, painting",PA-F00907-0089,1985,Nicholas Styleman (1722–1788),,,,Private Collection
"female portrait, drawing",PA-F00908-0025,1972,Burnwell Walpole,,,,"The Countess Waldegrave Chewton House, Chewton Mendip"
"male portrait, painting",PA-F00908-0051,1972,Sir Thomas Wendy,,0.762 x 0.635 (30 x 25 inches),,"Lord Middleton, Birdsall, Yorks."
"male portrait, painting",PA-F00908-0125,1989,"Accepted Frewen, Archbishop Of York",,1.24 x 1.00 (49 x 39 1/2 inches),"Inscribed: Accepted Frewn DD/Arch""p of York 1660 Bron at Northiam 1588/buried at York 1664",Brickwall House School E. Sussex
"male portrait, painting",PA-F00909-0011,1984,Young Man In Academic Gown,,0.75 x 0.61 (29 1/4 x 24 inches),,Private Collection
"male portrait, drawing",PA-F00909-0079,1977,Head Of A Man,"Black chalk, heightened with white, on brown paper",0.312 x 0.238; (12 1/4 x 9 inches),,A. Paul Oppé (1878–1957) 1928; D. L. T. Oppé (1896)
"male portrait, painting, animal portrait",PA-F00909-0105,1985,Boy In Red With Dog,,,,Private Collection
"male portrait, painting, animal portrait, female portrait, group portrait",PA-F00910-0023,1964,A Family Being Served With Tea Ra 1964 (19),Canvas,31 1/2 x 45 1/2 inches,,Paul Mellon (1907–1999); Yale Center for British Art
"male portrait, painting, female portrait, group portrait, royal portrait",PA-F00911-0029,1973,"Helen Hope, Mrs Gault, 6th Daughter Of Lord Craighall, With Her Child (Who Is The Pinkie Ghost )",,1. 270 x 1. 016 (50 x 40 inches),,"Sir Archibald Hope, bought , Upton Grey Lodge, Basingstoke."
